CHAVEGERAL,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,CODREGIAO5,REGIAO5,CODREGIAO8,REGIAO8,TB_SUBSETOR,SUBSETOR,TB_SETOR,SETOR,ESTAB,EMPREGO,HOMEM,MULHER,BRANCA,PARDA,PRETA,AMARELA,INDÍGENA,RACANI,RACA_IGN,ANALF,EF1A5INCOMP,EF5COM,EF6A9INCOMP,EFCOM,EMINCOM,EMCOMP,ESINCOM,ESCOMP,MESTRADO,DOUTORADO,ATE17,18A24,25A29,30A39,40A49,50A64,65OUMAIS,"ATE0,50SM","0,51A1,00SM","1,01A1,50SM","1,51A2,00SM","2,01A3,00SM","3,01A4,00SM","4,01A5,01SM","5,00A7,00SM","7,01A10,00SM","10,01A15,00SM","15,01A20,00SM",MAISDE20SM,RENDAIG,CBO_GG_1,CBO_GG_2,CBO_GG_3,CBO_GG_4,CBO_GG_5,CBO_GG_6,CBO_GG_7,CBO_GG_8,CBO_GG_9,CBO_GG_IGN
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,1,EXTR MINERAL,1,EXTR MINERAL,3,110,61,49,89,10,4,3,0,4,0,0,0,4,4,3,18,9,5,67,0,0,2,7,4,25,20,47,5,0,4,13,5,6,7,5,17,16,17,7,12,1,18,16,28,21,10,0,17,0,0,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,2,MIN NAO MET,2,IND TRANSF,1,3,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,3,IND METALURG,2,IND TRANSF,11,118,89,29,55,41,3,1,0,18,0,0,1,7,11,10,8,50,8,23,0,0,0,8,13,35,31,28,3,0,1,19,25,25,18,5,11,0,4,1,5,4,12,10,9,18,7,0,49,12,1,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,4,IND MECANICA,2,IND TRANSF,3,38,28,10,28,8,2,0,0,0,0,0,0,1,0,16,1,20,0,0,0,0,0,0,4,16,9,7,2,0,0,7,10,13,4,0,2,0,0,0,0,2,1,0,2,3,13,0,17,1,1,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,5,ELET E COMUN,2,IND TRANSF,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,8,PAPEL E GRAF,2,IND TRANSF,13,624,254,370,388,157,58,16,4,1,0,0,0,1,1,3,20,486,32,79,2,0,17,226,156,145,47,31,2,0,22,381,91,55,22,13,21,13,3,1,0,2,12,32,113,422,30,0,14,0,1,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,9,BOR FUM COUR,2,IND TRANSF,38,339,192,147,238,80,16,2,0,3,0,0,3,4,10,51,64,185,10,12,0,0,1,57,58,109,71,42,1,0,0,95,111,80,24,8,6,7,4,0,2,2,14,12,17,80,72,0,134,9,1,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,10,IND QUIMICA,2,IND TRANSF,11,204,110,94,134,38,9,3,0,20,0,0,2,3,8,7,5,103,13,62,1,0,4,20,36,58,34,48,4,0,0,5,56,62,20,3,17,13,11,6,11,0,30,21,22,27,43,0,39,17,5,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,11,IND TEXTIL,2,IND TRANSF,38,302,92,210,176,67,16,7,0,36,0,0,1,2,18,58,38,173,5,7,0,0,1,47,56,62,60,68,8,0,2,78,130,50,21,8,4,2,2,1,0,4,17,0,16,48,92,0,129,0,0,0
3.55E+20,3.55E+12,78,SE,9,SE,1,Centro,1,CENTRO,13,ALIM E BEB,2,IND TRANSF,24,344,169,175,144,93,29,2,0,76,0,0,13,12,33,32,55,168,9,22,0,0,0,71,52,101,55,58,7,0,1,97,144,54,21,4,8,8,1,1,0,5,15,7,11,41,130,0,61,76,3,0
