Subprefeituras,ID,Área (km²),População (2010),Densidade Demográfica (Hab/km²)
Perus,1,"57,20",164.046,2.553
Pirituba,2,"54,70",437.592,8
Freguesia do Ó,3,"31,50",407.245,12.928
Casa Verde,4,"26,70",309.376,11.587
Santana,5,"34,70",324.815,9.361
Jaçanã,6,"64,10",291.867,4.553
Vila Maria/Vila Guilherme,7,"26,40",297.713,"11,277"
Lapa,8,"40,10",305.526,7.619
Sé,9,"26,20",431.106,"16,454"
Butantã,10,"56,10",428.217,7.633
Pinheiros,11,"31,70",289.743,9.14
Vila Mariana,12,"26,50",344.632,"13,005"
Ipiranga,13,"37,50",463.804,12.368
Santo Amaro,14,"37,50",238.025,6.347
Jabaquara,15,"14,10",223.78,15.871
Cidade Ademar,16,"30,70",410.998,13.388
Campo Limpo,17,"36,70",607.105,16.542
M'Boi Mirim,18,"62,10",563.305,9.071
Capela do Socorro,19,"134,20",594.93,4.433
Parelheiros,20,"353,50",139.441,394
Penha,21,"42,80",474.659,11.09
Ermelino Matarazzo,22,"15,10",207.509,13.742
São Miguel,23,"24,30",369.496,15.206
Itaim Paulista,24,"21,70",373.127,17.195
Mooca,25,"35,20",343.98,9.772
Aricanduva,26,"21,50",267.702,12.451
Itaquera,27,"54,30",523.848,9.647
Guaianases,28,"17,80",268.508,15.085
Vila Prudente,29,19.8,246.589,12.454
São Mateus,30,"45,80",426.794,9.319
Cidade Tiradentes,31,"15,00",211.501,14.1
Sapopemba,32,"13,50",284.524,21.076
